Popularity Ranking,Common Name,Current Botanical Name,Plant Type,Height,Width,Growth Rate,Deciduous / Evergreen,Flowers,Flowering Season,Sun,Soil,Drainage,Water Requirement,Ease of Care,Max Summer Irrigation,Common uses,Availability in Nurseries,Plant Url,QR Codes(change number to change image size in pixels)
2,Blueblossom Ceanothus,Ceanothus thyrsiflorus,Shrub,2 - 30 ft(0.6 - 9.1 m),2 - 40 ft (0.6 - 12.2 m),"Fast,Moderate",Evergreen,"Blue,White,Green","Winter,Spring",Part Shade,"Reported to tolerate clay and sand, but Ceanothus generally do best in well drained soil. Do not fertilize or amend.","Fast,Medium,Slow",Low,Moderately Easy,Max 1x / month once established,"Groundcovers,Hedges,Bank Stabilization,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//calscape.org/Ceanothus-thyrsiflorus-(),//calscape.org/qrcodes/Ceanothus-thyrsiflorus(192)
7,Hummingbird Sage,Salvia spathacea,Perennial herb,1 - 3 ft(0.3 - 0.9 m),3 ft (0.9 m),Moderate,Evergreen,"Pink,Red","Winter,Spring,Summer","Full Shade,Part Shade",Tolerates a variety of soils,Medium,Very Low,Very Easy,Max 2x / month once established,"Groundcovers,Deer Resistant,Hummingbird Gardens,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//calscape.org/Salvia-spathacea-(),//calscape.org/qrcodes/Salvia-spathacea(192)
9,Coast Live Oak,Quercus agrifolia,Tree,25 - 82 ft(7.6 - 25 m),15 - 35 ft (4.6 - 10.7 m),"Moderate,Slow",Evergreen,"Yellow,Cream,Green","Spring,Winter","Full Sun,Part Shade","Tolerates a variety of soils but prefers a deep, well draining loam which it usually develops over time from leaf drop",Medium,Low,Very Easy,Max 1x / month once established,"Bank Stabilization,Hedges,Deer Resistant,Bird Gardens,Butterfly Gardens",Commonly Available,//calscape.org/Quercus-agrifolia-(),//calscape.org/qrcodes/Quercus-agrifolia(192)
12,California Fuchsia,Epilobium canum,Perennial herb,0.25 - 1.5 ft(0.08 - 0.46 m),2-3 ft (0.6 m),Fast,Winter Semi-Deciduous,Red,"Summer,Fall",Full Sun,Tolerates clay and sand,"Fast,Medium,Slow","Very Low,Low","Very Easy,Moderately Easy",Max 1x / month once established,"Groundcovers,Deer Resistant,Bird Gardens,Hummingbird Gardens,Butterfly Gardens",Commonly Available,//calscape.org/Epilobium-canum-(),//calscape.org/qrcodes/Epilobium-canum(192)
17,Douglas Iris,Iris douglasiana,Perennial herb,0.6 - 2.6 ft(0.18 - 0.8 m),2 - 4 ft (0.6 - 1.2 m),"Fast,Moderate",Evergreen,"Blue,Pink,Purple,White,Yellow","Winter,Spring","Full Sun, Part Shade, Full Shade",Prefers heavy soils with organic matter,Slow,Low,Very Easy,Max 1x / month once established,"Groundcovers,Deer Resistant",Commonly Available,//calscape.org/Iris-douglasiana-(),//calscape.org/qrcodes/Iris-douglasiana(192)
22,Toyon,Heteromeles arbutifolia,Shrub,6 - 30 ft(1.8 - 9.1 m),10 - 15,Moderate,Evergreen,White,Summer,"Full Sun,Part Shade",Tolerant of a variety of soils,"Fast,Medium,Slow",Low,Very Easy,Max 2x / month once established,"Bank Stabilization,Hedges,Deer Resistant,Bird Gardens,Butterfly Gardens",Commonly Available,//calscape.org/Heteromeles-arbutifolia-(),//calscape.org/qrcodes/Heteromeles-arbutifolia(192)
25,Western Columbine,Aquilegia formosa,Perennial herb,1.5 - 3 ft(0.46 - 0.9 m),1 ft (0.3 m),Fast,"Winter Deciduous, Evergreen","Red,Yellow",Spring,"Full Sun, Part Shade, Full Shade",Woodland soil with organic material and good drainage,Medium,"Low,Moderate - High",Very Easy,Max 1x / month once established,"Bird Gardens,Deer Resistant",Commonly Available,//calscape.org/Aquilegia-formosa-(),//calscape.org/qrcodes/Aquilegia-formosa(192)
53,Silver Lupine,Lupinus albifrons,Shrub,3.2 - 5 ft(1 - 1.5 m),5 ft (1.5 m),Fast,Evergreen,"Blue,Lavender,Purple","Winter,Spring,Summer",Full Sun,Occurs in a variety of soils,Fast,Very Low,Very Easy,Max 2x / month once established,"Deer Resistant,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//calscape.org/Lupinus-albifrons-(),//calscape.org/qrcodes/Lupinus-albifrons(192)
54,Coffeeberry,Frangula californica,Shrub,6 - 15 ft(1.8 - 4.6 m),5 - 15 ft (1.5 - 4.6 m),Moderate,Evergreen,"Cream,Green,White","Spring,Summer","Full Sun,Part Shade","Tolerates a variety of soils, but some subspecies have specific soil affinities","Fast,Medium","Low,Very Low",Very Easy,Max 2x / month once established,"Bank Stabilization,Hedges,Groundcovers,Deer Resistant,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//calscape.org/Frangula-californica-(),//calscape.org/qrcodes/Frangula-californica(192)
99,Madrone,Arbutus menziesii,Tree,15 - 100 ft(4.6 - 30.5 m),5 - 25,Slow,Evergreen,"White,Red",Spring,Part Shade,Heavy,"Fast,Medium",Low,Moderately Easy,Max 1x / month once established,"Bank Stabilization,Hedges,Bird Gardens,Deer Resistant,Butterfly Gardens",Commonly Available,//calscape.org/Arbutus-menziesii-(),//calscape.org/qrcodes/Arbutus-menziesii(192)
101,Seaside Fleabane,Erigeron glaucus,Perennial herb,0.16 - 1 ft(0.05 - 0.3 m),2 ft (0.6 m),Fast,Evergreen,"Lavender,Yellow","Winter,Spring,Summer","Full Sun,Part Shade","Clay soils on steep slopes, sandy soils on flats","Fast,Medium,Slow","Extremely Low,Very Low",Very Easy,Max 2x / month once established,"Groundcovers,Deer Resistant,Butterfly Gardens,Bee Gardens",Commonly Available,//calscape.org/Erigeron-glaucus-(),//calscape.org/qrcodes/Erigeron-glaucus(192)
109,Bush Monkey Flower,Mimulus aurantiacus,Shrub,3.9 - 5 ft(1.2 - 1.5 m),5 ft (1.5 m),Moderate,Evergreen,"Orange,Yellow","Winter,Spring,Summer","Part Shade,Full Sun",Tolerant of difficult soils if adequate drainage is provided,"Fast,Medium",Very Low,,Max 2x / month once established,"Deer Resistant,Hummingbird Gardens,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//calscape.org/Mimulus-aurantiacus-(),//calscape.org/qrcodes/Mimulus-aurantiacus(192)
118,Valley Sedge,Carex barbarae,Grasses,1.6 - 3.3 ft(0.49 - 1 m),3 ft (0.9 m),Fast,Evergreen,"Cream,Purple,Red",Summer,Part Shade,Tolerates a variety of soils,Slow,"Low,Moderate - High",,Max 1x / week once established,"Bogs and Ponds,Deer Resistant",,//calscape.org/Carex-barbarae-(),//calscape.org/qrcodes/Carex-barbarae(192)
144,Sea Cliff Buckwheat,Eriogonum parvifolium,Shrub,1 - 3.3 ft(0.3 - 1 m),2 - 3 ft (0.6 - 0.9 m),Moderate,Evergreen,"Pink,Red,White,Yellow,Green","Winter,Spring,Summer,Fall","Part Shade,Full Sun","Sandy rocky soils, sandstone","Fast,Medium",Very Low,Very Easy,Max 1x / month once established,"Bank Stabilization,Groundcovers,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//calscape.org/Eriogonum-parvifolium-(),//calscape.org/qrcodes/Eriogonum-parvifolium(192)
146,California Poppy,Eschscholzia californica,"Annual herb,Perennial herb",0.16 - 2 ft(0.05 - 0.6 m),1 - 2 ft (0.3 - 0.6 m),"Fast,Moderate",Summer Deciduous,"Orange,Yellow","Spring,Winter,Summer,Fall",Full Sun,"Prefers sandy, infertile, well-drained soils.","Fast,Medium,Slow","Very Low,Low",Very Easy,Max 2x / month once established,"Deer Resistant,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//calscape.org/Eschscholzia-californica-(),//calscape.org/qrcodes/Eschscholzia-californica(192)
150,Coast Barberry,Berberis pinnata,Shrub,3 - 7 ft(0.9 - 2.1 m),5 ft (1.5 m),Slow,Evergreen,Yellow,"Winter,Spring","Full Shade,Full Sun,Part Shade","Tolerates clay but performs best in deep, rich woodland soil",Medium,Low,Moderately Easy,Max 3x / month once established,"Bank Stabilization,Hedges,Deer Resistant,Bird Gardens,Bee Gardens",Commonly Available,//calscape.org/Berberis-pinnata-(),//calscape.org/qrcodes/Berberis-pinnata(192)
155,California Sagebrush,Artemisia californica,Shrub,1 - 8 ft (0.3 - 2.4 m),4 ft (1.2 m),Fast,Summer Deciduous,"Cream,White,Yellow","Spring,Summer,Fall",Full Sun,"Usually found on very dry slopes or sandy soil with low nutrient content, although it is also said to tolerate clay","Fast,Medium,Slow","Extremely Low,Very Low",Very Easy,Max 1x / month once established,"Bank Stabilization,Groundcovers,Butterfly Gardens,Deer Resistant,Bird Gardens",Commonly Available,//calscape.org/Artemisia-californica-(),//calscape.org/qrcodes/Artemisia-californica(192)
162,Dwarf Rose,Rosa gymnocarpa,Shrub,3 - 6.6 ft(0.9 - 2 m),6 - 9,"Fast,Moderate",Evergreen,"Purple,Lavender,Pink,Red",Spring,"Full Sun, Part Shade, Full Shade",Tolerates clay but does best in moist loamy soil,Medium,Low,Moderately Easy,Max 1x / month once established,"Deer Resistant,Bird Gardens,Bee Gardens",Commonly Available,//calscape.org/Rosa-gymnocarpa-(),//calscape.org/qrcodes/Rosa-gymnocarpa(192)
174,California Wildrose,Rosa californica,Shrub,8 - 10 ft(2.4 - 3 m),10 ft (3.0 m),"Moderate,Fast",Winter Deciduous,"Red,Pink,White","Summer,Spring","Full Sun, Part Shade, Full Shade",Tolerates clay but does best in moist loamy soil,"Medium,Slow","Low,Moderate - High",Very Easy,Max 3x / month once established,"Hedges,Deer Resistant,Bird Gardens,Butterfly Gardens,Bee Gardens",Commonly Available,//calscape.org/Rosa-californica-(),//calscape.org/qrcodes/Rosa-californica(192)
184,California Fescue,Festuca californica,Grasses,1.3 - 4 ft(0.4 - 1.2 m),3 ft (0.9 m),"Fast,Moderate",Evergreen,Yellow,"Spring,Winter","Full Sun, Part Shade",Prefers loamy or clay soils.  Grows poorly in sandy soils.,"Fast,Medium,Slow",Very Low,Very Easy,Max 3x / month once established,"Groundcovers,Deer Resistant",Commonly Available,//calscape.org/Festuca-californica-(),//calscape.org/qrcodes/Festuca-californica(192)
187,Coast Buckwheat,Eriogonum latifolium,Perennial herb,1.7 - 2.3 ft(0.5 - 0.7 m),3 ft (0.9 m),Moderate,Summer Semi-Deciduous,"Cream,Pink,White","Summer,Fall",Full Sun,Tolerates clay but prefers fast draining rocky or sandy soil,"Fast,Medium","Very Low,Low",Very Easy,Max 1x / month once established,"Groundcovers,Bank Stabilization,Deer Resistant,Bird Gardens,Butterfly Gardens,Bee Gardens",Sometimes Available,//calscape.org/Eriogonum-latifolium-(),//calscape.org/qrcodes/Eriogonum-latifolium(192)
195,Purple Needlegrass,Stipa pulchra,Grasses,3.3 ft(1 m),1.5 ft (0.5 m),,Evergreen,"Cream,Green,Purple,Red",Spring,Full Sun,Found in virtually every type of soil,Medium,"Low,Very Low",Very Easy,Max 1x / month once established,"Groundcovers,Deer Resistant,Butterfly Gardens",Commonly Available,//calscape.org/Stipa-pulchra-(),//calscape.org/qrcodes/Stipa-pulchra(192)
196,Yerba Buena,Clinopodium douglasii,Perennial herb,3.6 - 7.2 in(9.1 - 18.3 cm),3 ft (0.9 m),"Fast,Moderate",Evergreen,White,"Spring,Summer","Full Shade,Part Shade",Adaptable,"Fast,Medium,Slow",Low,Very Easy,Max 1x / week once established,"Groundcovers,Deer Resistant",Commonly Available,//calscape.org/Clinopodium-douglasii-(),//calscape.org/qrcodes/Clinopodium-douglasii(192)
202,Narrow Leaf Milkweed,Asclepias fascicularis,Perennial herb,1.7 - 3.3 ft(0.5 - 1 m),1 ft (0.3 m),,Winter Deciduous,"White,Lavender","Summer,Fall",Full Sun,"Tolerates a variety of soils including sandy, clay and saline","Fast,Medium,Slow","Low,Moderate - High",Moderately Easy,Max 2x / month once established,"Butterfly Gardens,Deer Resistant,Bird Gardens",Commonly Available,//calscape.org/Asclepias-fascicularis-(),//calscape.org/qrcodes/Asclepias-fascicularis(192)
204,Common Yarrow,Achillea millefolium,Perennial herb,1 - 3 ft(0.3 - 0.9 m),.5 - 1.5 ft (0.2 - 0.5 m),"Fast,Moderate","Evergreen,Summer Deciduous,Summer Semi-Deciduous","White,Yellow","Summer,Spring","Full Sun, Part Shade, Full Shade",Nearly any type except very wet. Because of its deep roots it has been used to control erosion.,"Fast,Medium,Slow",Low,Very Easy,Max 1x / week once established,"Groundcovers,Bird Gardens,Deer Resistant,Bee Gardens,Butterfly Gardens",Commonly Available,//calscape.org/Achillea-millefolium-(),//calscape.org/qrcodes/Achillea-millefolium(192)
225,Idaho Fescue,Festuca idahoensis,Grass,1 - 2.6 ft(0.3 - 0.8 m),.5 ft (0.2 m),Moderate,evergreen,"Yellow,Cream",Summer,Full Sun,"Adaptable, tolerant of sand, loam and clay","Fast,Medium,Slow",Very Low,Very Easy,Max 1x / month once established,"Groundcovers,Deer Resistant,Butterfly Gardens",Commonly Available,//calscape.org/Festuca-idahoensis-(),//calscape.org/qrcodes/Festuca-idahoensis(192)
236,California Buckeye,Aesculus californica,Tree,13.1 - 39.4 ft(4 - 12 m),40 ft (12.2 m),Moderate,"Summer Deciduous,Winter Deciduous","White,Cream","Summer,Spring","Part Shade,Full Sun",Tolerates a variety of soils including clay,"Medium,Slow","Very Low,Low",Very Easy,Max 2x / month once established,"Hedges,Bank Stabilization,Deer Resistant,Butterfly Gardens",Commonly Available,//calscape.org/Aesculus-californica-(),//calscape.org/qrcodes/Aesculus-californica(192)
246,Sky Lupine,Lupinus nanus,Annual Herb,0.33 - 2 ft(0.1 - 0.6 m),1 ft (0.3 m),Fast,Summer Deciduous,"Blue,Lavender","Winter,Spring",Full Sun,Tolerates sandy or clay soils,"Fast,Medium,Slow","Very Low,Low",Moderately Easy,Max 2x / month once established,"Bird Gardens,Bee Gardens",Commonly Available,//calscape.org/Lupinus-nanus-(),//calscape.org/qrcodes/Lupinus-nanus(192)
255,Canyon Live Oak,Quercus chrysolepis,"Tree,Shrub",30 - 90 ft(9.1 - 27.4 m),30 - 60 ft (9.1 - 18.3 m),"Moderate,Slow",Evergreen,"Yellow,Cream,Green","Spring,Winter","Full Sun, Part Shade, Shade",Found in a wide variety of soils in various parts of the state,Medium,Low,Moderately Easy,Max 2x / month once established,"Bank Stabilization,Deer Resistant,Bird Gardens,Butterfly Gardens",,//calscape.org/Quercus-chrysolepis-(),//calscape.org/qrcodes/Quercus-chrysolepis(192)
259,Franciscan Manzanita,Arctostaphylos franciscana,Shrub,0.7 - 10 ft(0.21 - 3 m),10 ft (3.0 m),,Evergreen,"Pink,White","Winter,Spring","Full Sun, Part Shade",,"Fast,Medium,Slow","Low,Very Low",Moderately Easy,Max 2x / month once established,"Hedges,Bird Gardens,Deer Resistant,Hummingbird Gardens,Bee Gardens",Commonly Available,//calscape.org/Arctostaphylos-franciscana-(),//calscape.org/qrcodes/Arctostaphylos-franciscana(192)
